Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
7,"Leslie Huling, Virginia Resta, Nancy Rainwater","The Case for a Third Alternative",2001,"Journal of Teacher Education","SAGE Publications","http://dx.doi.org/10.1177/0022487101052004006","",1,"2024-07-26 14:19:02","journal-article","10.1177/0022487101052004006","0022-4871","",52,4,326,338,7,0.30,2,3,23,"Today, the nation is facing an unprecedented teacher shortage, which will undoubtedly result in increased attention to alternative certification programs as a possible means of addressing the school-staffing crisis. For the past decade, much has centered on the tensions between school, college, and department of education (SCDE) programs and alternative programs, and the relative merits and drawbacks of two delivery systems—one in which candidates complete initial certification prior to employment and one that provides training to candidates while they are employed as full-time teachers. The authors advocate a third alternative for midcareer teacher candidates, one that encompasses the strengths and minimizes the weaknesses of the two predominant delivery systems currently available. This alternative is the comprehensive, accelerated, customer-oriented teacher preparation program, coupled with an intensive induction support system. The authors describe one such program and discuss the compelling reasons for SCDEs nationwide to consider moving in this direction.","http://journals.sagepub.com/doi/pdf/10.1177/0022487101052004006",""
28,"Francis L. Rose, Joseph Koke, Robert Koehn, Denise Smith","IDENTIFICATION OF THE ETIOLOGICAL AGENT FOR NECROTIZING SCUTE DISEASE IN THE TEXAS TORTOISE",2001,"Journal of Wildlife Diseases","Wildlife Disease Association","http://dx.doi.org/10.7589/0090-3558-37.2.223","",2,"2024-07-26 14:19:02","journal-article","10.7589/0090-3558-37.2.223","0090-3558","",37,2,223,228,28,1.22,7,4,23,"","http://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-37.2.223",""
0,"Terry Rizzo, Deborah J. Buswell, Rebecca J. Woodard, Sherry L. Folsom-Meek, Steve Hannigan-Downs","Digest",2001,"Adapted Physical Activity Quarterly","Human Kinetics","http://dx.doi.org/10.1123/apaq.18.2.211","",3,"2024-07-26 14:19:02","journal-article","10.1123/apaq.18.2.211","0736-5829","",18,2,211,215,0,0.00,0,5,23,"","https://journals.humankinetics.com/view/journals/apaq/18/2/article-p211.xml",""
0,"Stephen Springer, Barbara Pevoto","Principles for Development of a 21st Century Distance Learning Program on the College and University Level",2001,"Journal of Educational Technology Systems","SAGE Publications","http://dx.doi.org/10.2190/r5rc-230k-x97g-5h5r","",4,"2024-07-26 14:19:02","journal-article","10.2190/r5rc-230k-x97g-5h5r","0047-2395","",30,1,43,52,0,0.00,0,2,23,"The Occupational Education program at Southwest Texas State University was established in 1973 to serve military personnel at four bases in San Antonio, Texas. During the 1980s, the program moved toward a broader clientele and has currently evolved into serving a 90 percent civilian population. In addition to shifts of population served, the program has evolved due to private college competition, employers' demands, and changes in the program focus. The program's success has rested on seven principles: 1) understand the organization's structure; 2) think “outside the box” as challenges occur; 3) select and motivate staff and faculty in change models; 4) examine underserved populations; 5) report program successes often; 6) provide alternative student support services, which complement distance learning; and 7) assure quality indicators as courses are designed. In retrospect, the principles of sound program development point toward faculty preparation and establishing obtainable goals related to distance education.","http://journals.sagepub.com/doi/pdf/10.2190/R5RC-230K-X97G-5H5R",""
73,"Brian S. Hammes, Carl J. Carrano","Methylation of (2-Methylethanethiol-bis-3,5-dimethylpyrazolyl)methane Zinc Complexes and Coordination of the Resulting Thioether:  Relevance to Zinc-Containing Alkyl Transfer Enzymes",2001,"Inorganic Chemistry","American Chemical Society (ACS)","http://dx.doi.org/10.1021/ic001178p","",5,"2024-07-26 14:19:02","journal-article","10.1021/ic001178p","0020-1669","",40,5,919,927,73,3.17,37,2,23,"","https://pubs.acs.org/doi/pdf/10.1021/ic001178p",""
14,"Kris Knox, Eric Blankmeyer, J Stutzman","The Efficiency of Nursing Home Chains and the Implications of Nonprofit Status: A Comment",2001,"Journal of Real Estate Portfolio Management","Informa UK Limited","http://dx.doi.org/10.1080/10835547.2001.12089639","",6,"2024-07-26 14:19:02","journal-article","10.1080/10835547.2001.12089639","1083-5547","",7,2,177,182,14,0.61,5,3,23,"","https://www.tandfonline.com/doi/pdf/10.1080/10835547.2001.12089639",""
12,"Sara Horsfall, Cristian Alcocer, C Temple Duncan, Jonathan Polk","Views of euthanasia from an east Texas university",2001,"The Social Science Journal","Informa UK Limited","http://dx.doi.org/10.1016/s0362-3319(01)00157-4","",7,"2024-07-26 14:19:02","journal-article","10.1016/s0362-3319(01)00157-4","0362-3319","",38,4,617,627,12,0.52,3,4,23,"","https://api.elsevier.com/content/article/PII:S0362331901001574",""
16,"Leo A. Paquette, Choon Sup Ra, Judith C. Gallucci, Ho-Jung Kang, Naoki Ohmori, Mark P. Arrington, Wendi David, Jennifer S. Brodbelt","Constraining of Small-Ring Cyclic Ether Triads by Stereodefined Spiroannulation to an Inositol Orthoformate Platform. Solution- and Gas-Phase Alkali Metal Binding Affinities for Three- to Five-Membered Ring Structural Combinations",2001,"The Journal of Organic Chemistry","American Chemical Society (ACS)","http://dx.doi.org/10.1021/jo0107507","",8,"2024-07-26 14:19:02","journal-article","10.1021/jo0107507","0022-3263","",66,25,8629,8639,16,0.70,2,8,23,"","https://pubs.acs.org/doi/pdf/10.1021/jo0107507",""
2,"J. Zhang, D. Goldstein, P. Varghese, N. Gimelshein, D. Levin, S. Gimelshein","Modeling low density sulfur dioxide jets - Application to volcanoes on Jupiter's moon Io",2001,"35th AIAA Thermophysics Conference","American Institute of Aeronautics and Astronautics","http://dx.doi.org/10.2514/6.2001-2767","",9,"2024-07-26 14:19:02","proceedings-article","10.2514/6.2001-2767","","",,,,,2,0.09,0,6,23,"","http://arc.aiaa.org/doi/pdf/10.2514/6.2001-2767",""
93,"Lorne Campbell, Jeffry A. Simpson, Deborah A. Kashy, W. Steven Rholes","Attachment Orientations, Dependence, and Behavior in a Stressful Situation: An Application of the Actor-Partner Interdependence Model",2001,"Journal of Social and Personal Relationships","SAGE Publications","http://dx.doi.org/10.1177/0265407501186005","",10,"2024-07-26 14:19:02","journal-article","10.1177/0265407501186005","0265-4075","",18,6,821,843,93,4.04,23,4,23,"In this study, we assessed how attachment orientations and degree of relationship dependence influence individuals' own behavior and their partners' behavior in a stressful situation using the Actor-Partner Interdependence Model (APIM; Kashy & Kenny, 2000). Dating couples were videotaped while the female partner was waiting to engage in an anxiety-provoking task. Raters then evaluated the behavior of each partner on theoretically relevant dimensions. We found that more avoidantly attached individuals behaved more negatively toward their partners. Moreover, people behaved more negatively if their partners were more avoidant. Very few direct effects of dependence emerged. However, attachment orientations, particularly avoidant attachment and level of dependence, interacted to predict the behavior of both partners. In particular, less avoidant and highly dependent people behaved less negatively toward their partners, whereas more avoidant and less dependent people behaved more negatively. These results are discussed in terms of attachment theory, interdependence theory, and the APIM.","http://journals.sagepub.com/doi/pdf/10.1177/0265407501186005",""
