Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"Theron Stimmel, Carol Crayton, Tracy Rice, Paul M. Raffeld","Pain Perception as a Function of Self-Focused Rumination",2006,"Perceptual and Motor Skills","SAGE Publications","http://dx.doi.org/10.2466/pms.103.1.21-28","",1,"2024-07-25 13:59:47","journal-article","10.2466/pms.103.1.21-28","0031-5125","",103,1,21,28,1,0.06,0,4,18,"Pain sensitivity and tolerance were studied using the cold-pressor technique. A 3 independent groups design was employed using rumination as the independent variable. Group 1 was given a situation in which anger-related self-rumination was introduced. Group 2 was given a self-related rumination task in which anger was not induced. Group 3 received a rumination task not related to the self. In addition, the State-Trait Anger Expression Inventory was given prior to the experiment to test the hypothesis that ratings on the Anger-In subtest would correlate with pain sensitivity. In each group were 6 men and 6 women. Each participant took the anger and another inventory not relevant to the present study before the experiment. An anger measure was taken before and after the experiment for each group to see if the anger induction in Group 1 actually increased anger. There were no differences among the 3 groups on the second anger measure, so differences between Groups 1 and 2 could not be attributed to anger. A 1-way analysis of variance for 3 groups showed a strong main effect on pain tolerance but not pain sensitivity. Groups 1 and 2 were significantly more tolerant of pain than Group 3. The correlation of ratings on the Anger-In (internalized anger) subtest fell short of statistical significance with pain sensitivity and also was not significant for pain tolerance. Results were discussed in terms of the possibility that self-rumination may increase pain tolerance by requiring a greater cognitive load than nonself rumination.","http://journals.sagepub.com/doi/pdf/10.2466/pms.103.1.21-28",""
35,"Junmei Tang, Le Wang, Zhijun Yao","Analyzing Urban Sprawl Spatial Fragmentation Using Multi-temporal Satellite Images",2006,"GIScience &amp; Remote Sensing","Informa UK Limited","http://dx.doi.org/10.2747/1548-1603.43.3.218","",2,"2024-07-25 13:59:47","journal-article","10.2747/1548-1603.43.3.218","1548-1603","",43,3,218,232,35,1.94,12,3,18,"","https://www.tandfonline.com/doi/pdf/10.2747/1548-1603.43.3.218",""
1,"Katherine Selber, Virginia Rondero Hernandez, Mary Tijerina, Cathy Heyman, Charles Sallee","Assessing the Perceptions of Program Providers for Serving Children with Genetic Disorders and Their Families",2006,"Families in Society: The Journal of Contemporary Social Services","SAGE Publications","http://dx.doi.org/10.1606/1044-3894.3493","",3,"2024-07-25 13:59:47","journal-article","10.1606/1044-3894.3493","1044-3894","",87,1,133,139,1,0.06,0,5,18,"This article reports on a study examining perceptions of staff of state health and human service programs on the family-centered nature of services for children with genetic conditions and their families. The article provides information on the qualitative and quantitative methodologies used to obtain stakeholder input from staff in partnering organizations. Twenty programs were invited to participate in a Web-based survey that yielded a response rate of 75% (N = 15). Findings indicate that few program staff understand genetic conditions or services. Data also indicate a need to enhance family input into the service design, evaluation, and policy development processes of existing services.","http://journals.sagepub.com/doi/pdf/10.1606/1044-3894.3493",""
53,"Patricia M. Shields, Hassan Tajalli","Intermediate Theory: The Missing Link in Successful Student Scholarship",2006,"Journal of Public Affairs Education","Informa UK Limited","http://dx.doi.org/10.1080/15236803.2006.12001438","",4,"2024-07-25 13:59:47","journal-article","10.1080/15236803.2006.12001438","1523-6803","",12,3,313,334,53,2.94,27,2,18,"","https://www.tandfonline.com/doi/pdf/10.1080/15236803.2006.12001438",""
21,"Kris Joseph Knox, Eric C. Blankmeyer, J. R. Stutzman","Comparative Performance and Quality Among Nonprofit Nursing Facilities in Texas",2006,"Nonprofit and Voluntary Sector Quarterly","SAGE Publications","http://dx.doi.org/10.1177/0899764006289770","",5,"2024-07-25 13:59:47","journal-article","10.1177/0899764006289770","0899-7640","",35,4,631,667,21,1.17,7,3,18,"Researchers have given little attention to relative economic efficiency among nonprofit nursing facilities. Presumably, religious-affiliated, government, and private secular nonprofit facilities pursue similar objectives, perform similarly, and receive tax exemptions accordingly. Using modified, translog cost-and profit-function regression analyses, this article rejects the hypothesis of homogeneous performance. In Texas, private secular nonprofit nursing homes are the most cost-efficient, followed by religious-affiliated and then government nursing facilities. When allocation efficiency is also considered, government and private secular facilities have similar overall economic efficiency; religious-affiliated and government facilities are similar as well; however, private secular facilities are significantly more efficient than religious-affiliated homes. Quality appears to be homogeneous among facility classifications. Given these significant differences, policy makers may want to consider the role of relative economic performance when granting nonprofit status to nursing facilities because nonprofit governance boards may allow their organizations to pursue the “socially superior” goal somewhat divergently.","http://journals.sagepub.com/doi/pdf/10.1177/0899764006289770",""
4,"Sheila J. Heater, J. Douglas Rains, Arthur R.C. Braden, Steven M. Gilmer, Ronald B. Walter","Cloning of<i>JunA</i>and<i>JunB</i>and Comparison of mRNA Expression Levels in Two<i>Xiphophorus</i>Melanoma Models",2006,"Zebrafish","Mary Ann Liebert Inc","http://dx.doi.org/10.1089/zeb.2006.3.53","",6,"2024-07-25 13:59:47","journal-article","10.1089/zeb.2006.3.53","1545-8547","",3,1,53,63,4,0.22,1,5,18,"","http://www.liebertpub.com/doi/pdf/10.1089/zeb.2006.3.53",""
1,"Robert J. Buchanan, Alexa Stuifbergen, Bonnie J. Chakravorty, Suojin Wang, Li Zhu, Myungsuk Kim","Urban/Rural Differences in Access and Barriers to Health Carefor People with Multiple Sclerosis",2006,"Journal of Health and Human Services Administration","SAGE Publications","http://dx.doi.org/10.1177/107937390602900301","",7,"2024-07-25 13:59:47","journal-article","10.1177/107937390602900301","1079-3739","",29,3,360,375,1,0.06,0,6,18,"Context: People living in rural areas face barriers when seeking health care, often experiencing difficulties accessing health providers or facilities. Little is known about barriers to the use of health care confronting people with multiple sclerosis (MS) in rural areas. Purpose: To identify any rural/urban differences in access and barriers to health services, including MS-focused care, among people with MS. Methods: The data were collected in a survey of 1,518 people with MS living in all 50 States. The study included three geographic subgroups: urban areas; adjacent rural areas; and more remote rural areas. Findings: We found significant rural/urban differences in access and barriers to care among people with MS, especially for MS-focused care. Significantly smaller proportions of people with MS from adjacent and more remote rural areas reported no difficulty getting MS-related care than their urban counterparts. Conclusions: Greater difficulty accessing MS-related care experienced by people with MS in rural areas has negative implications for the quality of the MS care they receive.","https://journals.sagepub.com/doi/pdf/10.1177/107937390602900301",""
10,"Asif Rahaman, Othalene Collins, Chavell Scott, Jiangping Wang, William L. Hase","Role of Projectile and Surface Temperatures in the Energy Transfer Dynamics of Protonated Peptide Ion Collisions with the Diamond {111} Surface",2006,"The Journal of Physical Chemistry A","American Chemical Society (ACS)","http://dx.doi.org/10.1021/jp057159o","",8,"2024-07-25 13:59:47","journal-article","10.1021/jp057159o","1089-5639","",110,27,8418,8422,10,0.56,2,5,18,"","https://pubs.acs.org/doi/pdf/10.1021/jp057159o",""
48,"Joycelyn M. Pollock, Janet L. Mullings, Ben M. Crouch","Violent Women",2006,"Journal of Interpersonal Violence","SAGE Publications","http://dx.doi.org/10.1177/0886260505285722","",9,"2024-07-25 13:59:47","journal-article","10.1177/0886260505285722","0886-2605","",21,4,485,502,48,2.67,16,3,18,"Prior research on violent crime by female offenders is reviewed. A Texas female prisoner sample is used to explore specific questions raised by the literature review. Violent and nonviolent offenders were compared, looking specifically at race, socioeconomic status, having been raised in single-parent homes, criminal history, gang membership, marital status, and childhood abuse. Findings indicated that women who are violent were more likely to be younger, African American, unemployed, and having extensive criminal histories. They were more likely to come from dysfunctional families with childhood abuse. Limitations of the study were noted.","http://journals.sagepub.com/doi/pdf/10.1177/0886260505285722",""
7,"Shirley Matile Ogletree, James B. Worthen, G. Marc Turner, Victoria Vickers","Developing an Attitudes Toward Housecleaning Scale: Gender Comparisons and Counseling Applications",2006,"The Family Journal","SAGE Publications","http://dx.doi.org/10.1177/1066480706289589","",10,"2024-07-25 13:59:47","journal-article","10.1177/1066480706289589","1066-4807","",14,4,400,407,7,0.39,2,4,18,"An Attitudes Toward Housecleaning Scale was tested with two diverse adult workforce samples, with one sample from the employees of a Holt Caterpillar dealership and the other from the faculty/staff at two universities. In both samples, a 13-item scale that assessed three factors, preferred level of cleanliness, liking of house-cleaning tasks, and gender attitudes related to housecleaning responsibilities, was supported by confirmatory factor analyses. In Study 2, men on average liked housecleaning more than women, whereas women typically felt more conflict, guilt, and resentment related to housework. Possible applications for couples in premarital and marital counseling are discussed.","http://journals.sagepub.com/doi/pdf/10.1177/1066480706289589",""
