Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"Kathryn S. Lee, Randall E. Osborne, Keith A. Hayes, Richard A. Simoes","The Effects of Pacing on the Academic Testing Performance of College Students with Adhd: A Mixed Methods Study",2008,"Journal of Educational Computing Research","SAGE Publications","http://dx.doi.org/10.2190/ec.39.2.b","",1,"2024-07-25 13:46:09","journal-article","10.2190/ec.39.2.b","0735-6331","",39,2,123,141,8,0.50,2,4,16,"Minimal research has been conducted contrasting the effectiveness of various testing accommodations for college students diagnosed with ADHD. The current assumption is that these students are best served by extending the time they have to take a test. It is the supposition of these investigators that paced item presentation may be a more beneficial accommodation than extended time. To test the effects of paced item presentation, the investigators designed a mixed methods sequential explanatory study to explore the relationship between computer-paced and student-paced item presentation on the academic test performance in college students diagnosed with ADHD. The participants were randomly assigned to 1 of 2 testing conditions. Half of the participants were provided a computer-paced testing condition, and half were provided a student-paced testing condition within a computer-based environment. Interviews were conducted after the test administration to discern the students' perceptions of the value of the various components of the testing environment. No significant differences were found in performance scores between the students tested under the two conditions; however, the interview data illuminated the quantitative findings in that the students reported that the computer-based testing environment itself, as well as other environmental variables, provided a beneficial structure and format conducive to their overall successful performance under both accommodations. The practicability of university disability offices offering a computerized format for students diagnosed with ADHD is also discussed.","http://journals.sagepub.com/doi/pdf/10.2190/EC.39.2.b",""
17,"James Gaertner, Phil E. Wheeler, Shola Obafemi, Jessica Valdez, Michael R. J. Forstner, Timothy H. Bonner, Dittmar Hahn","Detection of Salmonellae from Fish in a Natural River System",2008,"Journal of Aquatic Animal Health","Wiley","http://dx.doi.org/10.1577/h07-045.1","",2,"2024-07-25 13:46:09","journal-article","10.1577/h07-045.1","0899-7659","",20,3,150,157,17,1.06,2,7,16,"Abstract: Sediment, water, and fish gut samples taken at three sites near the headwaters of the San Marcos River, Texas, were analyzed for salmonellae","https://afspubs.onlinelibrary.wiley.com/doi/pdf/10.1577/H07-045.1",""
7,"Garry L. White, Jaymeen R. Shah, James R. Cook, Francis Mendez","Relationship Between Information Privacy Concerns and Computer Self-Efficacy",2008,"International Journal of Technology and Human Interaction","IGI Global","http://dx.doi.org/10.4018/jthi.2008040104","",3,"2024-07-25 13:46:09","journal-article","10.4018/jthi.2008040104","1548-3908","",4,2,52,82,7,0.44,2,4,16,"<p>Individuals have two types of focus involving privacy and technology: a person’s concerns with organizational practices towards the privacy of personal information (management focus), and the person’s self-efficacy of computers (technology focus). People view management of personal information and information technology as unrelated issues. The authors hypothesize that there is no relationship between a person’s concerns for information privacy (management focus) and his/her self-efficacy towards computers (technology focus). The purpose of this study was to investigate the relationship between computer self-efficacy, and concerns for personal information privacy.</p>","https://www.igi-global.com/viewtitle.aspx?TitleId=2924",""
11,"Jennifer Ramirez Johnson, Octavio Pimentel, Charise Pimentel","Writing New Mexico White",2008,"Journal of Business and Technical Communication","SAGE Publications","http://dx.doi.org/10.1177/1050651907311928","",4,"2024-07-25 13:46:09","journal-article","10.1177/1050651907311928","1050-6519","",22,2,211,236,11,0.69,4,3,16,"In this article, the authors analyze early technical documents produced by the New Mexico Bureau of Immigration (NMBI), including “The Legend of Montezuma” and “Illustrated New Mexico.” The purpose of these documents are clear: to increase the number of white Americans to create a clear white majority when New Mexico became a state and thereby prevent the Mexicans from gaining power. In analyzing these documents, the authors use theoretical frameworks from studies in the history of business and technical writing (SHBTW) and critical whiteness theory to show how early textual representations of New Mexico reproduce racist constructions of native New Mexicans and represent whiteness as the norm.","http://journals.sagepub.com/doi/pdf/10.1177/1050651907311928",""
10,"Katherine E. Purswell, Ani Yazedjian, Michelle L. Toews","Students' Intentions and Social Support as Predictors of Self-Reported Academic Behaviors: A Comparison of First- and Continuing-Generation College Students",2008,"Journal of College Student Retention: Research, Theory &amp; Practice","SAGE Publications","http://dx.doi.org/10.2190/cs.10.2.e","",5,"2024-07-25 13:46:09","journal-article","10.2190/cs.10.2.e","1521-0251","",10,2,191,206,10,0.63,3,3,16,"The purpose of this analysis was to examine academic intentions, parental support, and peer support as predictors of self-reported academic behaviors among a sample of 329 first- and continuing-generation college freshmen. Regression analyses revealed that different variables predicted academic behaviors for the three groups examined (students whose parents had no college experience, some college experience, or a college degree). Specifically, all three independent variables—intention, parental support, and peer support—were predictive of self-reported academic behavior for students whose parents had at least a bachelor's degree. However, peer support was the only variable predictive of academic behavior for the students whose parents had some college experience and intention was the only significant predictor for first-generation college students.","http://journals.sagepub.com/doi/pdf/10.2190/CS.10.2.e",""
44,"Gary W. Beall, Drew S. Sowersby, Rachel D. Roberts, Michael H. Robson, L. Kevin Lewis","Analysis of Oligonucleotide DNA Binding and Sedimentation Properties of Montmorillonite Clay Using Ultraviolet Light Spectroscopy",2008,"Biomacromolecules","American Chemical Society (ACS)","http://dx.doi.org/10.1021/bm800970v","",6,"2024-07-25 13:46:09","journal-article","10.1021/bm800970v","1525-7797","",10,1,105,112,44,2.75,9,5,16,"","https://pubs.acs.org/doi/pdf/10.1021/bm800970v",""
3,"Daniel Eckstein, Pat Love, Kristen J. Aycock, V. Van Wiesner","The Couples Gender-Based Questionnaire (CGQ): Thirty-Three Relationship Considerations",2008,"The Family Journal","SAGE Publications","http://dx.doi.org/10.1177/1066480707313859","",7,"2024-07-25 13:46:09","journal-article","10.1177/1066480707313859","1066-4807","",16,2,166,170,3,0.19,1,4,16,"Thirty-three research-referenced gender differences are explored by means of a couple's gender-based questionnaire (CGQ). Couples take the questionnaire individually and then collaboratively choose one answer relative to whether each statement is more characteristic of males, females, or both genders. A review of gender-related literature follows. Implications and applications to the couples themselves conclude the article.","http://journals.sagepub.com/doi/pdf/10.1177/1066480707313859",""
23,"James P. Gaertner, Dittmar Hahn, Francis L. Rose, Michael R. J. Forstner","Detection of Salmonellae in Different Turtle Species within a Headwater Spring Ecosystem",2008,"Journal of Wildlife Diseases","Wildlife Disease Association","http://dx.doi.org/10.7589/0090-3558-44.2.519","",8,"2024-07-25 13:46:09","journal-article","10.7589/0090-3558-44.2.519","0090-3558","",44,2,519,526,23,1.44,6,4,16,"","http://www.jwildlifedis.org/doi/pdf/10.7589/0090-3558-44.2.519",""
0,"K.E. Saul, J.R. Koke, D.M. Garcia","[P2.47]: Dissection of specific genetic signals from a background of tissue repair and inflammatory response noise during optic nerve regeneration in <i>Danio rerio</i>",2008,"International Journal of Developmental Neuroscience","Wiley","http://dx.doi.org/10.1016/j.ijdevneu.2008.09.172","",9,"2024-07-25 13:46:09","journal-article","10.1016/j.ijdevneu.2008.09.172","0736-5748","",26,8,882,882,0,0.00,0,3,16,"","https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1016%2Fj.ijdevneu.2008.09.172",""
0,"Jaymeen R. Shah, Garry L. White, James R. Cook","Privacy Protection Overseas as Perceived by USA-Based IT Professionals",2008,"Electronic Government","IGI Global","http://dx.doi.org/10.4018/978-1-59904-947-2.ch208","",10,"2024-07-25 13:46:09","book-chapter","10.4018/978-1-59904-947-2.ch208","","",,,2784,2797,0,0.00,0,3,16,"Privacy laws for the Internet are difficult to develop and implement domestically and internationally. A clear problem is how such laws are limited to national jurisdictions. What is legal in one country may be illegal in another. Due to differences in cultures and values, and government types, it may not be possible to establish global standards and legislations to ensure privacy. Due to the nonexistence of global privacy standards, multinational (international) companies usually select one of the following two possible solutions: (1) implement a most restrictive “one size fits all” privacy policy that is used across various countries, or (2) implement different privacy policies that meet the privacy regulations of different countries and expectations of those citizens. In order to investigate a solution that may be used by multinational companies, and how companies view domestic privacy laws, the authors conducted a survey of U.S.-based employees of domestic and multinational companies. The results of the survey suggest that the majority of the multinational companies prefer the first solution—most restrictive “one size fits all” approach. They develop and implement a single set of privacy policies that is used across their operations in different countries. The majority of the companies surveyed consider domestic privacy laws in the United States to be practical, but ineffective.","https://www.igi-global.com/viewtitle.aspx?TitleId=9895",""
