Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"Miguel Guajardo, John A. Oliver, Gregory Rodríguez, Mónica M. Valadez, Yvette Cantú, Francisco Guajardo","Reframing the Praxis of School Leadership Preparation through Digital Storytelling",2011,"Journal of Research on Leadership Education","SAGE Publications","http://dx.doi.org/10.1177/194277511100600504","",1,"2024-07-25 13:38:08","journal-article","10.1177/194277511100600504","1942-7751","",6,5,145,161,9,0.69,2,6,13,"This article introduces a social innovation that contributes to the formation of educational leaders. Digital storytelling is employed as a process for data creation, analysis, and synthesis. Emerging educational leaders are guided through a process to better understand the experiences and social constructs that inform their identity. Through a dialogical and reflective mode this article employs a student's story, where the text of story emerges as the unit of analysis as it is embedded into the text as primary data. Technology complements the storytelling process to construct a digitalstory of self as the student embarks in a leadership program.","http://journals.sagepub.com/doi/pdf/10.1177/194277511100600504",""
14,"Mark McKenney, Gabriel De Luna, Schiller Hill, Logan Lowell","Geospatial overlay computation on the GPU",2011,"Proceedings of the 19th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems","ACM","http://dx.doi.org/10.1145/2093973.2094051","",2,"2024-07-25 13:38:08","proceedings-article","10.1145/2093973.2094051","","",,,,,14,1.08,4,4,13,"","https://dl.acm.org/doi/pdf/10.1145/2093973.2094051",""
1,"Yoo Jae Kim, Jiong Hu, Soon Jae Lee, Benjamin J. Broughton","Prediction of Compressive Strength of Aerated Lightweight Aggregate Concrete by Artificial Neural Network",2011,"Applied Mechanics and Materials","Trans Tech Publications, Ltd.","http://dx.doi.org/10.4028/www.scientific.net/amm.84-85.177","",3,"2024-07-25 13:38:08","journal-article","10.4028/www.scientific.net/amm.84-85.177","1662-7482","",84,,177,182,1,0.08,0,4,13,"This paper presents artificial neural network techniques for predicting the compressive strength of Aerated Lightweight Aggregate Concrete (ALAC) based on the effects of the concrete mix parameters. The compressive strength of sixty different concretes with densities ranging from 551 to 1948 kg/m3 was used and trained. The primary mix design variables studied included amount of cement, water, coarse aggregate, fine aggregate, surfactant, the volume percentage of air in the matrix (A/M), and the volume percentage of matrix of the total mix (M/T). The training and testing results indicate that the model explains 0.984 and 0.979 of the variability in compressive strength for the single aggregate used in the study, respectively.","https://www.scientific.net/AMM.84-85.177.pdf",""
42,"J. Pete Blair, Joycelyn Pollock, Don Montague, Terry Nichols, John Curnutt, David Burns","Reasonableness and Reaction Time",2011,"Police Quarterly","SAGE Publications","http://dx.doi.org/10.1177/1098611111423737","",4,"2024-07-25 13:38:08","journal-article","10.1177/1098611111423737","1098-6111","",14,4,323,343,42,3.23,7,6,13,"When the police use deadly force, their actions are judged by the reasonableness standard. This article seeks to inform the reasonableness standard by examining the ability of police officers to respond to armed suspects. The results of a reaction time experiment are presented. In this experiment, police officers encountered a suspect armed with a gun, pointing down and not at the police officer. The police officer had his gun aimed at the suspect and ordered the suspect to drop the gun. The suspect then either surrendered or attempted to shoot the officer. The speed with which the officer fired if the suspect chose to shoot was assessed. Results suggest that the officers were generally not able to fire before the suspect. Implications for the reasonableness standard and policy are discussed.","http://journals.sagepub.com/doi/pdf/10.1177/1098611111423737",""
1,"Gregory Spencer, Daniel Ralls, Stephen Wolfe, Michael Blanda, Anup Bandyopadhyay","Functionalization dependence of the electron beam sensitivity for a conformationally immobile calix[6]arene resist",2011,"Journal of Vacuum Science &amp; Technology B, Nanotechnology and Microelectronics: Materials, Processing, Measurement, and Phenomena","American Vacuum Society","http://dx.doi.org/10.1116/1.3610968","",5,"2024-07-25 13:38:08","journal-article","10.1116/1.3610968","2166-2746","",29,4,,,1,0.08,0,5,13,"Calixarenes form a group of compounds that have been studied as high resolution negative electron beam resists. In this work, resists based on a conformationally immobile calix[6]arene molecule were synthesized and their sensitivities measured while the number of attached functional groups was systematically varied. This provided a direct test of the effect of the degree of functionalization on the electron beam resist sensitivity. The synthesis produced two basic molecular conformations: a cone conformer and a 1,2,3-alternate conformer. The number of attached allyl groups was deliberately varied from 0 to 8 allyls in steps of 2 allyls per synthesis. The resulting nine different resists were exposed and contrast curves were measured by atomic force microscopy. The least sensitive were the unfunctionalized calix[6]arenes with threshold doses of about 2 mC/cm2. The fully functionalized conformers had threshold doses around 0.1 mC/cm2. The sensitivities of both conformers were found to scale directly with the number of attached allyls for the sequence running from 0 to 8 attached functional groups. The molecular weight effect on sensitivity, seen by other groups, appeared only for the heaviest of the nine resists. This conformer, containing six attached functional groups had the highest sensitivity of all those tested. The presence of these two methods for improving sensitivity, partial functionalization of the conformers and higher conformer molecular weight, allows for the possibility of creating a single calixarene resist that is optimized simultaneously for more than one property, such as sensitivity for imaging and etch resistance for pattern transfer.","https://pubs.aip.org/avs/jvb/article-pdf/doi/10.1116/1.3610968/15957384/041605_1_online.pdf",""
0,"Luis Daniel Neve, Alissa A Savage, Joseph R Koke, Dana M Garcia","An anti‐bystin antibody labels hypertrophic astrocytes in zebrafish following optic nerve injury: possible marker for reactivity",2011,"The FASEB Journal","Wiley","http://dx.doi.org/10.1096/fasebj.25.1_supplement.lb524","",6,"2024-07-25 13:38:08","journal-article","10.1096/fasebj.25.1_supplement.lb524","0892-6638","",25,,,,0,0.00,0,4,13,"Following nerve injury, teleost fish are capable of initiating robust signaling cascades leading to the repair of damaged tissue and a functional recovery of nerves: a phenomenon absent in amniotes. Microarray analysis of an injured zebrafish optic nerve revealed 120 genes significantly differentially expressed at one or more time points. Atf3, a member of the cAMP‐response element binding protein family, was among these genes and has been previously characterized to become upregulated in response to various stressors in nervous tissue. In the present study, we have been able to employ immunohistochemical techniques and eGFP reporter constructs to show ATF3 labeling in the bundled fiber layer and retinal ganglion cells; however, the lack of a marker for reactive astrocytes has made analyzing ATF3 expression in the glial cells of injured nerves difficult. Using antibodies against ATF3 and the protein bystin, an essential component of astrocyte development and a novel marker for the astrocyte transition from a quiescent to a reactive state in mammals, we show colocalization of bystin like protein and ATF3 in cells morphologically suggestive of hypertrophic astrocytes. These results suggest that ATF3 is expressed by reactive astrocytes in response to injury. Reactive astrocytes are the major cellular components of the glial scar in mammals, the formation of which prevents sprouting neurites from reaching their synaptic targets. The finding that the anti‐bystin antibody labels cells which morphologically appear to be reactive astroctyes supports using zebrafish as a model organism with relevance to human health.","",""
6,"Rahul Chakraborty, Celeste Domsch, Maria D. Gonzales","Articulatory Behaviors of Nonnative Speakers: Role of L2 Proficiency and Accent Modification",2011,"Perceptual and Motor Skills","SAGE Publications","http://dx.doi.org/10.2466/11.17.21.28.pms.113.4.311-330","",7,"2024-07-25 13:38:08","journal-article","10.2466/11.17.21.28.pms.113.4.311-330","0031-5125","",113,1,311,330,6,0.46,2,3,13,"To sound native-like, nonnative speakers need to approximate the articulatory patterns of native speakers. When nonnative speakers deviate from native speakers' production patterns, it gives rise to a nonnative accent. This study examines how proficiency in a second language (L2) is related to processing skills in L2, as measured by the accuracy of consonant production. 10 monolingual speakers of American English, 10 Bengali-English bilinguals with high proficiency in English, and 10 Bengali-English bilinguals with low proficiency in English participated. The participants spoke 16 nonwords of four different syllable lengths. Productions were phonetically transcribed. Results suggested that nonnative speakers' L2 proficiency differentially interacted with overall phonemic accuracy, usage of appropriate place, manner and voicing features, position of consonants within target words, and syllable length. Implications of these findings are discussed in light of customized strategies for modification of nonnative accents.","http://journals.sagepub.com/doi/pdf/10.2466/11.17.21.28.PMS.113.4.311-330",""
10,"Jon Lasser, Kathleen Fite, Akinyi P. Wadende","Fatherhood in Kenyan ethnic communities: Implication for child development",2011,"School Psychology International","SAGE Publications","http://dx.doi.org/10.1177/0143034310396613","",8,"2024-07-25 13:38:08","journal-article","10.1177/0143034310396613","0143-0343","",32,1,49,57,10,0.77,3,3,13,"This article reviews the traditional and evolving constructions of fatherhood in Kenyan society, with an emphasis on fatherhood’s impact on child development outcomes. Western influence and increased access to technology have changed the role of the Kenyan father, and in turn affected his role in the family. Special attention is given to implications for child development and for educators working with children and families in Kenya.","http://journals.sagepub.com/doi/pdf/10.1177/0143034310396613",""
9,"Laurie McGarry Klose, Cynthia Plotts, Nicole Kozeneski, Jacqueline Skinner-Foster","A Review of Assessment Tools for Diagnosis of Autism Spectrum Disorders",2011,"Assessment for Effective Intervention","SAGE Publications","http://dx.doi.org/10.1177/1534508411415090","",9,"2024-07-25 13:38:08","journal-article","10.1177/1534508411415090","1534-5084","",37,4,236,242,9,0.69,2,4,13,"This paper provides a review of widely used measures for assessing Autism Spectrum Disorders, including the Autism Diagnostic Interview–Revised, Autism Diagnostic Observation Schedule, Psychoeducational Profile–Third Edition, Gilliam Autism Rating Scale–Second Edition, and Childhood Autism Rating Scale–Second Edition. Each measure is evaluated in terms of its usefulness for diagnosis and screening with respect to IDEA eligibility criteria, clinical diagnostic criteria, and current understanding of best practices.","http://journals.sagepub.com/doi/pdf/10.1177/1534508411415090",""
1,"Gregory Spencer, Benedict Anyamesem-Mensah, Heather C. Galloway, Anup Bandyopadhyay, Daniel Frasier","Silicon nanoparticle synthesis by short-period thermal anneals at atmospheric pressure in argon",2011,"Journal of Vacuum Science &amp; Technology A: Vacuum, Surfaces, and Films","American Vacuum Society","http://dx.doi.org/10.1116/1.3620422","",10,"2024-07-25 13:38:08","journal-article","10.1116/1.3620422","0734-2101","",29,5,,,1,0.08,0,5,13,"Silicon nanoparticles have been studied for a wide variety of applications including nanoelectronic, photovoltaic, and optoelectronic devices. In this work, silicon nanoparticles were synthesized by short-period annealing of silicon-on-insulator substrates to temperatures ranging between 600 and 900 °C in argon gas at atmospheric pressure. Two different top silicon layers were deposited by ion-beam sputtering onto oxidized substrates. The thinner 6 nm top layer samples were annealed to temperatures for 30 s periods while thicker 15 nm top layer samples were annealed for 60 s periods. For both sets of samples, nanoparticles were observed to form at all the anneal temperatures through imaging by AFM. One long-period UHV anneal study, with 30-min anneal times, observed nanoparticle formation at temperatures similar to the current work while another similar long-period UHV anneal reported nanoparticle formation only above well-defined formation temperatures that depended upon the starting top layer thickness. In the current work, the average nanoparticle radius was found to increase both with the final anneal temperature and anneal period. For the highest anneal temperatures of the 6 nm top layer samples, a changing surface topography indicated that the thinner Si source layer was becoming depleted and the nanoparticle formation process was nearing completion. No such changes were observed for the thicker 15 nm samples at the same temperatures.","https://pubs.aip.org/avs/jva/article-pdf/doi/10.1116/1.3620422/13788446/051508_1_online.pdf",""
